dataset,model,loss,epochs,best_epoch,best_val_loss,best_train_loss,final_epoch,final_val_loss,final_train_loss,mean_epoch_seconds,total_epoch_seconds,num_points,input_dim,loss_time_weight,history_path
dvsgesture,pointnet_ae,chamfer,50,48,0.002075,0.001992,49,0.00212,0.001987,2385.224151,1.1926e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnet_ae_chamfer\dvsgesture_pointnet_ae_chamfer_history.csv
dvsgesture,pointnet_ae,density_aware_chamfer,50,49,0.754516,0.74382,49,0.754516,0.74382,2284.173363,1.1421e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnet_ae_density_aware_chamfer\dvsgesture_pointnet_ae_density_aware_chamfer_history.csv
dvsgesture,pointnet_ae,hausdorff,51,44,0.16953,0.174549,49,0.170815,0.173396,3045.366178,1.5531e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnet_ae_hausdorff\dvsgesture_pointnet_ae_hausdorff_history.csv
dvsgesture,pointnet_ae,projection,43,42,0.040789,0.043246,42,0.040789,0.043246,3328.6306,1.4313e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnet_ae_projection\dvsgesture_pointnet_ae_projection_history.csv
dvsgesture,pointnet_ae,temporal_weighted_chamfer,50,49,0.00207,0.001988,49,0.00207,0.001988,2292.60389,1.1463e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnet_ae_temporal_weighted_chamfer\dvsgesture_pointnet_ae_temporal_weighted_chamfer_history.csv
dvsgesture,pointnetpp_ae,chamfer,50,49,0.002015,0.001883,49,0.002015,0.001883,3536.599337,1.7683e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnetpp_ae_chamfer\dvsgesture_pointnetpp_ae_chamfer_history.csv
dvsgesture,pointnetpp_ae,density_aware_chamfer,55,40,0.731672,0.72241,49,0.733023,0.714467,4651.409038,2.5583e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnetpp_ae_density_aware_chamfer\dvsgesture_pointnetpp_ae_density_aware_chamfer_history.csv
dvsgesture,pointnetpp_ae,hausdorff,50,49,0.189495,0.188824,49,0.189495,0.188824,3974.163318,1.9871e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnetpp_ae_hausdorff\dvsgesture_pointnetpp_ae_hausdorff_history.csv
dvsgesture,pointnetpp_ae,projection,11,10,0.051215,0.053153,10,0.051215,0.053153,4717.708963,5.1895e+04,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnetpp_ae_projection\dvsgesture_pointnetpp_ae_projection_history.csv
dvsgesture,pointnetpp_ae,sinkhorn,1,0,0.006921,0.013047,0,0.006921,0.013047,2.5309e+04,2.5309e+04,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnetpp_ae_sinkhorn\dvsgesture_pointnetpp_ae_sinkhorn_history.csv
dvsgesture,pointnetpp_ae,temporal_weighted_chamfer,48,48,0.00202,0.001886,49,0.002025,0.001865,4832.21676,2.3195e+05,4096,3,1.0,outputs\final_windowed4096\dvsgesture_pointnetpp_ae_temporal_weighted_chamfer\dvsgesture_pointnetpp_ae_temporal_weighted_chamfer_history.csv
ncaltech101,pointnet_ae,chamfer,56,49,0.002482,0.002469,49,0.002482,0.002469,2813.310396,1.5755e+05,4096,3,1.0,outputs\final_windowed4096\ncaltech101_pointnet_ae_chamfer\ncaltech101_pointnet_ae_chamfer_history.csv
ncaltech101,pointnet_ae,density_aware_chamfer,57,49,0.74726,0.746649,49,0.74726,0.746649,2394.160883,1.3647e+05,4096,3,1.0,outputs\final_windowed4096\ncaltech101_pointnet_ae_density_aware_chamfer\ncaltech101_pointnet_ae_density_aware_chamfer_history.csv
ncaltech101,pointnet_ae,hausdorff,51,49,0.139368,0.140432,49,0.139368,0.140432,2432.574217,1.2406e+05,4096,3,1.0,outputs\final_windowed4096\ncaltech101_pointnet_ae_hausdorff\ncaltech101_pointnet_ae_hausdorff_history.csv
ncaltech101,pointnet_ae,projection,23,21,0.014629,0.015266,22,0.014733,0.015157,2329.288607,5.3574e+04,4096,3,1.0,outputs\final_windowed4096\ncaltech101_pointnet_ae_projection\ncaltech101_pointnet_ae_projection_history.csv
ncaltech101,pointnet_ae,temporal_weighted_chamfer,51,46,0.002495,0.002484,49,0.0025,0.002475,2547.981642,1.2995e+05,4096,3,1.0,outputs\final_windowed4096\ncaltech101_pointnet_ae_temporal_weighted_chamfer\ncaltech101_pointnet_ae_temporal_weighted_chamfer_history.csv
ncaltech101,pointnetpp_ae,chamfer,50,48,0.002685,0.002626,49,0.002702,0.002621,2978.60084,1.4893e+05,4096,3,1.0,outputs\final_windowed4096\ncaltech101_pointnetpp_ae_chamfer\ncaltech101_pointnetpp_ae_chamfer_history.csv
