dataset,model,trained_loss,metric,mean_reconstruction_value,std_reconstruction_value,mean_clean_input_value,mean_model_seconds,mean_peak_memory_mb,num_rows
dvsgesture,pointnet_ae,chamfer,chamfer,0.002058,1.9498e-04,5.0440e-08,0.342798,151.503125,20
dvsgesture,pointnet_ae,chamfer,hausdorff,0.189807,0.007052,6.8295e-04,0.342798,151.503125,20
dvsgesture,pointnet_ae,chamfer,mse,0.075301,0.002373,0,0.342798,151.503125,20
dvsgesture,pointnet_ae,chamfer,temporal_weighted_chamfer,0.002058,1.9498e-04,5.0440e-08,0.342798,151.503125,20
dvsgesture,pointnet_ae,density_aware_chamfer,chamfer,0.011835,0.001214,5.0440e-08,0.025156,151.503125,20
dvsgesture,pointnet_ae,density_aware_chamfer,hausdorff,0.678013,0.026864,6.8295e-04,0.025156,151.503125,20
dvsgesture,pointnet_ae,density_aware_chamfer,mse,0.080602,0.002339,0,0.025156,151.503125,20
dvsgesture,pointnet_ae,density_aware_chamfer,temporal_weighted_chamfer,0.011835,0.001214,5.0440e-08,0.025156,151.503125,20
dvsgesture,pointnet_ae,hausdorff,chamfer,0.008102,6.6543e-04,5.0440e-08,0.0258,151.503125,20
dvsgesture,pointnet_ae,hausdorff,hausdorff,0.181222,0.00865,6.8295e-04,0.0258,151.503125,20
dvsgesture,pointnet_ae,hausdorff,mse,0.095738,0.010055,0,0.0258,151.503125,20
dvsgesture,pointnet_ae,hausdorff,temporal_weighted_chamfer,0.008102,6.6543e-04,5.0440e-08,0.0258,151.503125,20
dvsgesture,pointnet_ae,sinkhorn,chamfer,0.010017,5.2556e-04,7.2076e-08,0.040669,86.411765,17
dvsgesture,pointnet_ae,sinkhorn,hausdorff,0.285981,0.012343,6.9264e-04,0.040669,86.411765,17
dvsgesture,pointnet_ae,sinkhorn,mse,0.580392,0.005713,0,0.040669,86.411765,17
dvsgesture,pointnet_ae,sinkhorn,temporal_weighted_chamfer,0.010017,5.2556e-04,7.2076e-08,0.040669,86.411765,17
dvsgesture,pointnet_ae,temporal_weighted_chamfer,chamfer,0.002051,2.2470e-04,5.0440e-08,0.025132,151.503125,20
dvsgesture,pointnet_ae,temporal_weighted_chamfer,hausdorff,0.18995,0.008015,6.8295e-04,0.025132,151.503125,20
dvsgesture,pointnet_ae,temporal_weighted_chamfer,mse,0.074886,0.003843,0,0.025132,151.503125,20
dvsgesture,pointnet_ae,temporal_weighted_chamfer,temporal_weighted_chamfer,0.002051,2.2470e-04,5.0440e-08,0.025132,151.503125,20
dvsgesture,pointnetpp_ae,chamfer,chamfer,0.002028,8.9771e-05,5.0440e-08,0.159337,146.906445,20
dvsgesture,pointnetpp_ae,chamfer,hausdorff,0.205972,0.011495,6.8295e-04,0.159337,146.906445,20
dvsgesture,pointnetpp_ae,chamfer,mse,0.073642,0.002356,0,0.159337,146.906445,20
